"URBAN REDEVELOPMENT AUTHORITY - Rental Contracts of Private Retail Properties"

"S/N","Postal District","Floor Level","Floor Area (Sqm)","Median Rent (Sqm)","Reference Period"
"152","01","Level 1",">300","75.35","Q2 2014"
"153","01","Level 2 & 3","30 & Below","139.94","Q2 2014"
"154","01","Level 2 & 3",">30 - 100","87.43","Q2 2014"
"155","01","Level 2 & 3",">100 - 300","86.15","Q2 2014"
"156","01","Level 2 & 3",">300","70.40","Q2 2014"
"157","01","Level 4 & Above","30 & Below","76.47","Q2 2014"
"158","01","Level 4 & Above",">30 - 100","86.21","Q2 2014"
"159","01","Level 4 & Above",">100 - 300","86.33","Q2 2014"
"160","01","Level 4 & Above",">300","74.80","Q2 2014"
"161","01","B1 & Below","30 & Below","83.67","Q3 2014"
"162","01","B1 & Below",">30 - 100","79.45","Q3 2014"
"163","01","B1 & Below",">100 - 300","69.97","Q3 2014"
"164","01","B1 & Below",">300","NA","Q3 2014"
"165","01","Level 1","30 & Below","233.33","Q3 2014"
"166","01","Level 1",">30 - 100","160.36","Q3 2014"
"167","01","Level 1",">100 - 300","185.51","Q3 2014"
"168","01","Level 1",">300","116.53","Q3 2014"
"169","01","Level 2 & 3","30 & Below","85.11","Q3 2014"
"170","01","Level 2 & 3",">30 - 100","63.49","Q3 2014"
"171","01","Level 2 & 3",">100 - 300","62.35","Q3 2014"
"172","01","Level 2 & 3",">300","57.09","Q3 2014"
"173","01","Level 4 & Above","30 & Below","46.69","Q3 2014"
"174","01","Level 4 & Above",">30 - 100","82.14","Q3 2014"
"175","01","Level 4 & Above",">100 - 300","98.63","Q3 2014"
"176","01","Level 4 & Above",">300","73.72","Q3 2014"
"177","01","B1 & Below","30 & Below","192.56","Q4 2014"
"178","01","B1 & Below",">30 - 100","114.14","Q4 2014"
"179","01","B1 & Below",">100 - 300","70.78","Q4 2014"
"180","01","B1 & Below",">300","NA","Q4 2014"
"181","01","Level 1","30 & Below","333.33","Q4 2014"
"182","01","Level 1",">30 - 100","171.59","Q4 2014"
"183","01","Level 1",">100 - 300","129.42","Q4 2014"
"184","01","Level 1",">300","66.73","Q4 2014"
"185","01","Level 2 & 3","30 & Below","163.81","Q4 2014"
"186","01","Level 2 & 3",">30 - 100","104.17","Q4 2014"
"187","01","Level 2 & 3",">100 - 300","77.93","Q4 2014"
"188","01","Level 2 & 3",">300","48.65","Q4 2014"
"189","01","Level 4 & Above","30 & Below","NA","Q4 2014"
"190","01","Level 4 & Above",">30 - 100","77.59","Q4 2014"
"191","01","Level 4 & Above",">100 - 300","110.56","Q4 2014"
"192","01","Level 4 & Above",">300","NA","Q4 2014"
"193","01","B1 & Below","30 & Below","116.08","Q1 2015"
"194","01","B1 & Below",">30 - 100","100.17","Q1 2015"
"195","01","B1 & Below",">100 - 300","96.59","Q1 2015"
"196","01","B1 & Below",">300","NA","Q1 2015"
"197","01","Level 1","30 & Below","216.67","Q1 2015"
"198","01","Level 1",">30 - 100","133.46","Q1 2015"
"199","01","Level 1",">100 - 300","75.34","Q1 2015"
"200","01","Level 1",">300","179.23","Q1 2015"
"201","01","Level 2 & 3","30 & Below","127.67","Q1 2015"
"202","01","Level 2 & 3",">30 - 100","86.15","Q1 2015"
"203","01","Level 2 & 3",">100 - 300","128.10","Q1 2015"
"204","01","Level 2 & 3",">300","NA","Q1 2015"
"205","01","Level 4 & Above","30 & Below","NA","Q1 2015"
"206","01","Level 4 & Above",">30 - 100","82.76","Q1 2015"
"207","01","Level 4 & Above",">100 - 300","91.87","Q1 2015"
"208","01","Level 4 & Above",">300","90.42","Q1 2015"
"209","01","B1 & Below","30 & Below","126.73","Q2 2015"
"210","01","B1 & Below",">30 - 100","78.13","Q2 2015"
"211","01","B1 & Below",">100 - 300","202.37","Q2 2015"
"212","01","B1 & Below",">300","NA","Q2 2015"
"213","01","Level 1","30 & Below","252.00","Q2 2015"
"214","01","Level 1",">30 - 100","166.81","Q2 2015"
"215","01","Level 1",">100 - 300","109.25","Q2 2015"
"216","01","Level 1",">300","53.81","Q2 2015"
"217","01","Level 2 & 3","30 & Below","172.24","Q2 2015"
"218","01","Level 2 & 3",">30 - 100","111.86","Q2 2015"
"219","01","Level 2 & 3",">100 - 300","87.15","Q2 2015"
"220","01","Level 2 & 3",">300","49.26","Q2 2015"
"221","01","Level 4 & Above","30 & Below","NA","Q2 2015"
"222","01","Level 4 & Above",">30 - 100","81.36","Q2 2015"
"223","01","Level 4 & Above",">100 - 300","97.30","Q2 2015"
"224","01","Level 4 & Above",">300","NA","Q2 2015"
"225","01","B1 & Below","30 & Below","178.50","Q3 2015"
"226","01","B1 & Below",">30 - 100","90.85","Q3 2015"
"227","01","B1 & Below",">100 - 300","181.91","Q3 2015"
"228","01","B1 & Below",">300","109.80","Q3 2015"
"229","01","Level 1","30 & Below","238.93","Q3 2015"
"230","01","Level 1",">30 - 100","185.43","Q3 2015"
"231","01","Level 1",">100 - 300","96.72","Q3 2015"
"232","01","Level 1",">300","139.09","Q3 2015"
"233","01","Level 2 & 3","30 & Below","93.10","Q3 2015"
"234","01","Level 2 & 3",">30 - 100","89.76","Q3 2015"
